path	class	function	start	end	lines	visibility	static	owner_zone	sha256	signature
src/mechanist/AbstractDistantZoneSimulation.java	ZoneLedger	ZoneLedger	38	38	1	package	False	ui.input.navigation	9009681d7bd3265d716ff42cb1e6c92c19811d5ea041d236f784a14cf8563f0a	ZoneLedger(String zoneKey) { this.zoneKey = zoneKey; }
src/mechanist/AbstractDistantZoneSimulation.java	ZoneLedger	compact	40	43	4	package	False	world.generation.transition	234e734f0202fb3fd0f5b9a95df376277e9fece2546028fabb20403e432a72e5	String compact() {
src/mechanist/AbstractDistantZoneSimulation.java	TickResult	spend	56	98	43	package	False	world.generation.transition	4026516b8ee7cf0559d538ee087bef86b71a2ef658d5389693ffc0abb65f7786	TickResult spend(World world, int playerX, int playerY, int turn, int requestedBudget) {
src/mechanist/AbstractDistantZoneSimulation.java	TickResult	ledgerFor	100	109	10	package	False	world.generation.transition	8888b76a78847f188181d9fa4df9f218a4912ed650c6c0b4ac32e512dbdd6b62	ZoneLedger ledgerFor(World world) {
src/mechanist/AbstractDistantZoneSimulation.java	TickResult	zoneKey	111	114	4	package	True	ui.input.navigation	62e3538f7073a73a667b4082225561db30a183822ba830c42981205220f4050c	static String zoneKey(World world) {
src/mechanist/AbstractDistantZoneSimulation.java	TickResult	abstractNpcDrift	116	124	9	package	False	world.generation.transition	923be2d30e78f12c19f293e536200173603960e1b7a78673c71a71d9098d5b5b	void abstractNpcDrift(ZoneLedger ledger, NpcEntity npc, int turn) {
src/mechanist/AbstractDistantZoneSimulation.java	TickResult	addEvent	126	130	5	package	False	world.generation.transition	d6b8004acb109d7bd6934a148790b5955cc6d310343e6008b8cf0668b4124c45	void addEvent(ZoneLedger ledger, String event) {
src/mechanist/AbstractDistantZoneSimulation.java	TickResult	shouldAudit	132	135	4	package	False	world.generation.transition	68b9a48f648c38ac2802f252e197cd7d1c53a0431ffb298acc9fa2d8c669b2b0	boolean shouldAudit(int turn) {
src/mechanist/AbstractDistantZoneSimulation.java	TickResult	globalSummary	137	139	3	package	False	world.generation.transition	034b8c01f512bb8dc7126b0d06fa90e39deac7a28441c911910fc9916fe112bf	String globalSummary() {
src/mechanist/AccessibilityCompatibilityAuthority.java	CvdMode	CvdMode	22	22	1	package	False	runtime.options	e321a44b45f13eb5a28c7a046b4b8e23ecfc67abf36a95fbc611d96306227676	CvdMode(String label) { this.label = label; }
src/mechanist/AccessibilityCompatibilityAuthority.java	CvdMode	cvdLabel	41	41	1	package	True	runtime.options	26bed4ccb6b3b573163365cf3462d99ad156bf1252255e8d9e60fbce8217ea2d	static String cvdLabel(int idx) { return mode(idx).label; }
src/mechanist/AccessibilityCompatibilityAuthority.java	CvdMode	mode	43	46	4	package	True	runtime.options	74ecd303c27d64b2a2a6cabfe81a3c498b242d538c6bfaf43c8a3e9bc2a3a7f2	static CvdMode mode(int idx) {
src/mechanist/AccessibilityCompatibilityAuthority.java	CvdMode	processCompositedBackbuffer	48	57	10	package	True	runtime.options	23af2e93e048030dce22827832d2cf46fa91745b2df23a669dd5d4d88d99f36e	static void processCompositedBackbuffer(BufferedImage image, GameOptions options) {
src/mechanist/AccessibilityCompatibilityAuthority.java	CvdMode	processPixels	59	88	30	package	True	runtime.options	fcb52a35e85ec38e82e3c44d63eea98dfa2f23107af2ff4156c8d5be43ceb988	static void processPixels(int[] pixels, CvdMode mode) {
src/mechanist/AccessibilityCompatibilityAuthority.java	CvdMode	configurePanelAccessibleContext	90	99	10	package	True	ui.render.surface	3efe1125c51c25bed9ccbb0d359e70aa524ccc971a4cd83c7ec3b4b144c79616	static void configurePanelAccessibleContext(JPanel panel, String description) {
src/mechanist/AccessibilityCompatibilityAuthority.java	CvdMode	pushNarration	101	111	11	package	True	runtime.options	e594d6cbdf1d13d54f42002b8854eb73b6c7660ecc96e520333519e326d42dc2	static void pushNarration(JComponent component, String oldText, String newText) {
src/mechanist/AccessibilityCompatibilityAuthority.java	CvdMode	optionLines	113	124	12	package	True	runtime.options	a0bd38a3c624d79ea8681376455047853f9bd3900205306ea874bc622295476f	static java.util.List<String> optionLines(GameOptions options) {
src/mechanist/AccessibilityCompatibilityAuthority.java	CvdMode	auditSummary	126	133	8	package	True	runtime.options	a8ed8a4e196da396d59187bbdd582f072b8177eb7801f0b749f5ccaa1bf68131	static String auditSummary(GameOptions options) {
src/mechanist/AccessibilityCompatibilityAuthority.java	CvdMode	clamp255	135	135	1	private	True	runtime.options	aba9f3e2b930713060e098a93b2d44aec0180cc9ab9c836afee613e53fcf8a62	private static int clamp255(int v) { return Math.max(0, Math.min(255, v)); }
src/mechanist/AccessibilityCompatibilityAuthority.java	CvdMode	onOff	136	136	1	private	True	runtime.options	f584f2207ab9c7a9ba73af0d61dc983d295e307a85440145bf92c42af127a90b	private static String onOff(boolean v) { return v ? "ON" : "OFF"; }
src/mechanist/AccessibilityRuntimeOptionsSubsystem.java	AccessibilityRuntimeOptionsSubsystem	AccessibilityRuntimeOptionsSubsystem	8	9	2	private	False	runtime.options	b4ba60c9902ae173d314589631d837782c13aac622ff41ccdcb81534cb1f2e50	private AccessibilityRuntimeOptionsSubsystem() {
src/mechanist/AccessibilityRuntimeOptionsSubsystem.java	AccessibilityRuntimeOptionsSubsystem	togglePerformanceDiagnostics	11	18	8	package	True	ui.render.surface	b3079f8d9223d44024690c04e06f773de3523429bb458eee2fba0bc2f8b942ae	static void togglePerformanceDiagnostics(GamePanel panel) {
src/mechanist/AccessibilityRuntimeOptionsSubsystem.java	AccessibilityRuntimeOptionsSubsystem	cycleCvdMode	20	27	8	package	True	ui.render.surface	6e9e5986f717758a8359d2abaa08ac4727242bbea1ca5b35a898cb691b81d944	static void cycleCvdMode(GamePanel panel) {
src/mechanist/AccessibilityRuntimeOptionsSubsystem.java	AccessibilityRuntimeOptionsSubsystem	toggleHighContrastText	29	36	8	package	True	ui.render.surface	830287f9b4e5fddeb3055cbf6c22f61220435968a97a1188f3858d607d1ff0c5	static void toggleHighContrastText(GamePanel panel) {
src/mechanist/AccessibilityRuntimeOptionsSubsystem.java	AccessibilityRuntimeOptionsSubsystem	toggleInstantDialogueText	38	43	6	package	True	ui.render.surface	f86210bec9a961e0054e2e262bbb80f3d94df7b4b1f9961ca47f9d61c7b3457a	static void toggleInstantDialogueText(GamePanel panel) {
src/mechanist/AccessibilityRuntimeOptionsSubsystem.java	AccessibilityRuntimeOptionsSubsystem	adjustScreenShake	45	50	6	package	True	ui.render.surface	31fb03c02cb60b43db361b13563135c0d3d2490e4d88f704f2caf2a11666d289	static void adjustScreenShake(GamePanel panel, int delta) {
src/mechanist/AccessibilityRuntimeOptionsSubsystem.java	AccessibilityRuntimeOptionsSubsystem	pushCurrentScreenNarration	52	60	9	package	True	ui.render.surface	e847d9cb1c032244a539fe48f6a3d07217ff471a1a3c2dc138146b3aa6220c25	static void pushCurrentScreenNarration(GamePanel panel) {
src/mechanist/AccessibilityRuntimeOptionsSubsystem.java	AccessibilityRuntimeOptionsSubsystem	cycleColorTarget	62	65	4	package	True	ui.render.surface	95f73deaaa97e3529969830cbd3b013cee2099af21918863f99da816b0ca755c	static void cycleColorTarget(GamePanel panel) {
src/mechanist/AccessibilityRuntimeOptionsSubsystem.java	AccessibilityRuntimeOptionsSubsystem	cycleColorPreset	67	70	4	package	True	ui.render.surface	bbc1f703a9fee642d268ac3c6ae1e47f75a60791f985d3c9244b1038fbe095f8	static void cycleColorPreset(GamePanel panel) {
src/mechanist/AccessibilityRuntimeOptionsSubsystem.java	AccessibilityRuntimeOptionsSubsystem	adjustSelectedColor	72	75	4	package	True	ui.render.surface	29b960c8b179eca1c8c034b84b6a8dc99dbb7928dd1218670022d1ed529da4db	static void adjustSelectedColor(GamePanel panel, int delta) {
src/mechanist/AccessibilityVisualOptionsRuntime.java	AccessibilityVisualOptionsRuntime	AccessibilityVisualOptionsRuntime	4	4	1	private	False	runtime.options	512073e58c24dbe5b780b55ef8e6c64020748a473103506b52015e0bd36cda74	private AccessibilityVisualOptionsRuntime() {}
src/mechanist/AccessibilityVisualOptionsRuntime.java	AccessibilityVisualOptionsRuntime	togglePerformanceDiagnostics	6	13	8	package	True	ui.render.surface	b3079f8d9223d44024690c04e06f773de3523429bb458eee2fba0bc2f8b942ae	static void togglePerformanceDiagnostics(GamePanel panel) {
src/mechanist/AccessibilityVisualOptionsRuntime.java	AccessibilityVisualOptionsRuntime	cycleCvdMode	15	22	8	package	True	ui.render.surface	6e9e5986f717758a8359d2abaa08ac4727242bbea1ca5b35a898cb691b81d944	static void cycleCvdMode(GamePanel panel) {
src/mechanist/AccessibilityVisualOptionsRuntime.java	AccessibilityVisualOptionsRuntime	toggleHighContrastText	24	31	8	package	True	ui.render.surface	830287f9b4e5fddeb3055cbf6c22f61220435968a97a1188f3858d607d1ff0c5	static void toggleHighContrastText(GamePanel panel) {
src/mechanist/AccessibilityVisualOptionsRuntime.java	AccessibilityVisualOptionsRuntime	toggleInstantDialogueText	33	38	6	package	True	ui.render.surface	f86210bec9a961e0054e2e262bbb80f3d94df7b4b1f9961ca47f9d61c7b3457a	static void toggleInstantDialogueText(GamePanel panel) {
src/mechanist/AccessibilityVisualOptionsRuntime.java	AccessibilityVisualOptionsRuntime	adjustScreenShake	40	45	6	package	True	ui.render.surface	31fb03c02cb60b43db361b13563135c0d3d2490e4d88f704f2caf2a11666d289	static void adjustScreenShake(GamePanel panel, int delta) {
src/mechanist/AccessibilityVisualOptionsRuntime.java	AccessibilityVisualOptionsRuntime	pushCurrentScreenNarration	47	47	1	package	True	ui.render.surface	abcef0691c3b5a02bde1a545cd3c6d34d15cf31e042f24dddbd31122058d68d9	static void pushCurrentScreenNarration(GamePanel panel) { AccessibilityRuntimeOptionsSubsystem.pushCurrentScreenNarration(panel); }
